person_id,full_name,relation,official_person_id,chamber,party,state,trades_disclosed,positions_analyzed,positions_closed,positions_open,win_rate,win_rate_closed,mean_return_pct,median_return_pct,mean_alpha_vs_spy,median_alpha_vs_spy,mean_alpha_vs_sector_etf,median_alpha_vs_sector_etf,median_disclosure_lag_days,median_disclosure_drift_pct,top_sector,sector_concentration_pct,event_proximity_rate,est_total_notional,positions_dropped_no_prices,composite_score,composite_score_normalized,score_components_present,rank_composite,eligible_for_ranking
synthetic-member-alpha::spouse,Synthetic Member Alpha (spouse),spouse,synthetic-member-alpha,senate,,,21,16,10,6,0.6875,0.6,0.5589187127839931,0.33197910993701873,0.33995243226240685,0.06652090667087718,0.1965238151285822,0.09186427042881085,52.0,0.02058802131983206,health_care,99.15347950741598,0.0625,50619507.0,0,0.3668538269907249,0.9035714285714287,4,1,True
synthetic-member-golf::spouse,Synthetic Member Golf (spouse),spouse,synthetic-member-golf,senate,,,8,8,2,6,0.875,1.0,0.22216501818100162,0.28657403739822435,-0.021406869483074187,-0.0027251332904357772,0.007407752295792061,0.175162606192045,30.0,0.05031425016257829,health_care,95.40794718465978,0.0,3223003.0,0,0.2889697734451793,0.8642857142857142,4,2,True
synthetic-member-charlie::joint,Synthetic Member Charlie (joint),joint,synthetic-member-charlie,house,,,15,11,7,4,0.7272727272727273,0.7142857142857143,0.07454071177681262,0.04601822742021122,0.005172623400482654,0.006785099488564983,0.0041042468416582515,0.05418767024469773,17.0,0.0372701584336963,energy,44.186050671813874,0.09090909090909091,279504.5,0,0.24017931068185988,0.8964285714285715,4,3,True
synthetic-member-alpha::joint,Synthetic Member Alpha (joint),joint,synthetic-member-alpha,senate,,,7,6,2,4,0.6666666666666666,0.5,0.09783823041882193,0.09288027018709799,-0.10545352977574933,0.025338920562558265,0.008300393980071577,0.09694349097116639,41.0,0.036733175864661294,defense,56.96525902315116,0.0,965502.5,0,0.17720728628393353,0.7178571428571429,4,4,True
synthetic-member-delta::spouse,Synthetic Member Delta (spouse),spouse,synthetic-member-delta,senate,,,15,10,5,5,0.7,0.8,0.12177263809949326,0.13521917560717966,-0.0864015293567495,0.08701298443593092,-0.26429696980640555,-0.047525606676898646,25.0,-0.014755129400932376,defense,73.42944428621036,0.1,1281505.0,0,0.17593426692192046,0.825,4,5,True
synthetic-member-golf,Synthetic Member Golf,self,,senate,,,17,16,4,12,0.5,0.75,0.3542634606009735,-0.006795898472961748,0.068974918797856,-0.07497477346257136,-0.48305595456202977,-0.39377260846472806,35.0,-0.03213891183770584,real_estate,51.24106897428907,0.125,2195506.5,0,0.1113354458261968,0.6625000000000001,4,6,True
synthetic-member-charlie,Synthetic Member Charlie,self,,house,,,22,19,6,13,0.6842105263157895,0.6666666666666666,0.162568354108497,0.0843214087291928,-0.10777913734402601,-0.025325760376474493,-0.4967639412692025,-0.28320306655157235,26.0,-0.022484902688089448,financials,56.83982469310178,0.0,1462007.5,0,0.10551088964681196,0.6142857142857143,4,7,True
synthetic-member-delta,Synthetic Member Delta,self,,senate,,,29,25,9,16,0.56,0.6666666666666666,0.02695253031073773,0.09283321880775497,-0.1878672551360081,-0.11232144822945833,-0.3283284476738922,-0.06663252968978695,27.0,-0.0029418204809597004,technology,49.734080692502715,0.2,107270511.0,0,0.09952659200763937,0.6839285714285713,4,8,True
synthetic-member-foxtrot,Synthetic Member Foxtrot,self,,house,,,16,13,3,10,0.5384615384615384,0.3333333333333333,0.16536752912954567,0.16831361626136365,-0.14219633080373364,-0.15449426527696486,-0.3413951863091772,-0.26768689148992775,40.0,-0.03066249932775733,energy,98.22578994984487,0.07692307692307693,50952507.0,0,0.05881485861129021,0.55,4,9,True
synthetic-member-hotel,Synthetic Member Hotel,self,,house,,,32,27,12,15,0.5555555555555556,0.5,0.17336997167701046,0.04601822742021122,-0.09877401137960662,-0.06403195350373159,-0.4505831482224853,-0.36367889772324735,30.0,0.014835471508632736,real_estate,97.19170227863525,0.0,103283511.5,0,0.05442128257017452,0.5553571428571429,4,10,True
synthetic-member-echo::spouse,Synthetic Member Echo (spouse),spouse,synthetic-member-echo,house,,,25,22,7,15,0.5,0.7142857142857143,0.03568081107424306,0.0028850259135507206,-0.20093233697062124,-0.16271659571820618,-0.31493009450998743,-0.1129692716405934,32.0,0.03367284957906297,energy,96.0697704003625,0.0,52045509.0,0,0.04703321088363281,0.4875,4,11,True
synthetic-member-alpha::dependent_child,Synthetic Member Alpha (dependent child),dependent_child,synthetic-member-alpha,senate,,,13,13,6,7,0.5384615384615384,0.8333333333333334,0.06962966537558454,0.07003407380929039,-0.13394275290294633,-0.18154636346715303,-0.3346555741659323,-0.354197624864081,39.0,0.024767159289967866,consumer_discretionary,79.61913037830526,0.07692307692307693,446504.5,0,0.04481414309677448,0.5357142857142857,4,12,True
synthetic-member-bravo::dependent_child,Synthetic Member Bravo (dependent child),dependent_child,synthetic-member-bravo,house,,,14,12,6,6,0.3333333333333333,0.3333333333333333,0.04865873348795376,-0.0702255486652053,-0.09259164427706439,-0.17722615459143165,-0.25522257306379187,-0.2025133957096069,48.0,0.01686566248549326,financials,65.00181427306175,0.16666666666666666,1281505.0,0,0.03912732981391953,0.5392857142857144,4,13,True
