position_id,person_id,ticker,sector,direction,asset_type,open_date,close_date,disclosure_date,disclosure_lag_days,holding_days,is_open,return_basis,disclosure_drift_pct,position_return_pct,spy_return_pct,sector_etf,sector_etf_return_pct,alpha_vs_spy,alpha_vs_sector_etf,sector_benchmark_is_fallback,est_amount_mid,est_open_amount_mid,is_partial_lot,amount_range_text,matched_event_id,matched_event_days_before,price_data_complete
18fe272f67a2bf178ffb::bb64611e38dbac6a8eda,synthetic-member-alpha,ZZAA,energy,long,equity,2020-09-17,2024-02-29,2020-11-03,47,1260,False,underlying_adjusted_close,0.025242117376428563,0.09734887812487791,0.4986847953072455,XLE,1.564356282542426,-0.4013359171823676,-1.467007404417548,False,8000.5,32500.5,True,"$15,001 - $50,000",,,True
18fe272f67a2bf178ffb::open,synthetic-member-alpha,ZZAA,energy,long,equity,2020-09-17,,2020-11-03,47,1566,True,underlying_adjusted_close,0.025242117376428563,0.8329449855921724,0.6529746402670271,XLE,1.5579365310542714,0.17997034532514533,-0.724991545462099,False,24500.0,32500.5,True,"$15,001 - $50,000",,,True
50a2c9018d583852a4b5::open,synthetic-member-alpha,ZZAA,energy,long,equity,2022-06-22,,2022-07-18,26,923,True,underlying_adjusted_close,-0.09491893525958217,1.0844338196687402,0.40022596810040056,XLE,1.1128100634161555,0.6842078515683396,-0.02837624374741532,False,8000.5,8000.5,False,"$1,001 - $15,000",,,True
439fb53706c669ff1d0a::open,synthetic-member-alpha,ZZAA,energy,long,equity,2024-05-21,,2024-10-01,133,224,True,underlying_adjusted_close,0.0885434888832013,0.3301703003471157,0.05474611905665139,XLE,-0.1218454808775159,0.2754241812904643,0.4520157812246316,False,175000.5,175000.5,False,"$100,001 - $250,000",,,True
0b35e656b9622182f79f::baad27b64e095c358c61,synthetic-member-alpha,ZZAA,energy,short,option_put,2020-04-01,2022-05-03,2020-05-19,48,762,False,underlying_proxy_for_option,-0.011216183740075714,0.122884295435435,0.05541757762006427,XLE,0.16057647911266204,0.06746671781537072,-0.03769218367722704,False,8000.5,75000.5,True,"$50,001 - $100,000",,,True
0b35e656b9622182f79f::open,synthetic-member-alpha,ZZAA,energy,short,option_put,2020-04-01,,2020-05-19,48,1735,True,underlying_proxy_for_option,-0.011216183740075714,-0.7134407286650277,0.4632756559932405,XLE,1.4601325680608852,-1.1767163846582682,-2.173573296725913,False,67000.0,75000.5,True,"$50,001 - $100,000",,,True
4748d2f80e1e2ebe14ba::71e6c398286ee5117a29,synthetic-member-alpha,ZZBB,defense,long,equity,2020-11-12,2022-05-04,2020-12-22,40,538,False,underlying_adjusted_close,0.05014531929092514,0.08222662273208203,0.09493332369150798,ITA,0.2080851560241359,-0.012706700959425943,-0.12585853329205388,False,8000.5,8000.5,False,"$1,001 - $15,000",,,True
28551a01099e7e3778e2::00c80e787f51a4371d2f,synthetic-member-alpha,ZZCC,technology,short,option_put,2019-09-18,2024-07-01,2019-10-09,21,1748,False,underlying_proxy_for_option,-0.014174440897053442,-0.46729767881378015,0.5810474741605256,XLK,1.72166633855195,-1.0483451529743057,-2.18896401736573,False,32500.5,32500.5,False,"$15,001 - $50,000",,,True
4946364067406f62a201::open,synthetic-member-alpha,ZZEE,health_care,short,option_put,2024-02-16,,2024-04-05,49,319,True,underlying_proxy_for_option,-0.05958519906532289,-0.1156506326617992,0.11791520718136939,XLV,-0.12959316482777095,-0.2335658398431686,0.013942532165971744,False,8000.5,8000.5,False,"$1,001 - $15,000",,,True
4fc5f8711c2d27082cf9::open,synthetic-member-alpha,ZZHH,utilities,short,option_put,2021-04-30,,2021-06-29,60,1341,True,underlying_proxy_for_option,-0.1379435926828103,0.07484291498835127,0.4684778456878218,XLU,0.646188012499094,-0.39363493069947053,-0.5713450975107427,False,32500.5,32500.5,False,"$15,001 - $50,000",,,True
c3fb230c1c891cfbb2e8::open,synthetic-member-alpha,ZZII,consumer_discretionary,long,option_call,2024-03-26,,2024-07-05,101,280,True,underlying_proxy_for_option,0.06767011384790611,-0.03511746098591606,0.14559775098424543,XLY,0.24899517640785018,-0.1807152119701615,-0.28411263739376624,False,75000.5,75000.5,False,"$50,001 - $100,000",,,True
aba80459fca7467adad4::open,synthetic-member-alpha,ZZII,consumer_discretionary,short,option_put,2019-03-27,,2019-05-20,54,2106,True,underlying_proxy_for_option,0.030564230689152483,-1.3987953957348087,0.41512129365578065,XLY,1.476664256966508,-1.8139166893905894,-2.8754596527013168,False,3000000.5,3000000.5,False,"$1,000,001 - $5,000,000",,,True
81cbd9ea5340c34b7439::open,synthetic-member-alpha,ZZII,consumer_discretionary,short,option_put,2024-02-09,,2024-03-06,26,326,True,underlying_proxy_for_option,-0.057903342290497095,-0.010153400720397388,0.11060709123649537,XLY,0.25857513735367643,-0.12076049195689276,-0.2687285380740738,False,175000.5,175000.5,False,"$100,001 - $250,000",,,True
279f6d1e39b68fe8afbb::8f2e6f5be5bd71a8b710,synthetic-member-alpha,ZZJJ,real_estate,long,equity,2020-08-28,2022-02-10,2020-10-28,61,531,False,underlying_adjusted_close,0.010166182637864063,-0.184157795142742,0.15056654431260652,XLRE,-0.332613589627032,-0.3347243394553485,0.14845579448429003,False,175000.5,375000.5,True,"$250,001 - $500,000",,,True
279f6d1e39b68fe8afbb::e569165df4aae5d0a1f6,synthetic-member-alpha,ZZJJ,real_estate,long,equity,2020-08-28,2023-02-23,2020-10-28,61,909,False,underlying_adjusted_close,0.010166182637864063,-0.3885795849588882,0.21696240400554667,XLRE,-0.20820074896638308,-0.6055419889644349,-0.18037883599250515,False,8000.5,375000.5,True,"$250,001 - $500,000",,,True
279f6d1e39b68fe8afbb::0342099b3c0a519eb643,synthetic-member-alpha,ZZJJ,real_estate,long,equity,2020-08-28,2024-07-17,2020-10-28,61,1419,False,underlying_adjusted_close,0.010166182637864063,-0.13367189053130257,0.6318984139770654,XLRE,-0.05886745892590439,-0.7655703045083679,-0.07480443160539818,False,191999.5,375000.5,True,"$250,001 - $500,000",,,True
